,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9
1990.8461538461538,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1990.923076923077,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
1991.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
1991.076923076923,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1991.1538461538462,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
1991.2307692307693,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1991.3076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991.3846153846155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991.4615384615386,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0
1991.5384615384614,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1991.6153846153845,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1991.6923076923076,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1991.7692307692307,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1991.8461538461538,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0
1991.923076923077,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1992.076923076923,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1992.1538461538462,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0
1992.2307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992.3076923076924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992.3846153846155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1992.4615384615386,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1992.5384615384614,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1992.6153846153845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992.6923076923076,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
1992.7692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
