,folder,rn,N_i,N_f,N_rs,N_rd,v_i,v_f,v_rs,v_rd,R0_i,R0_f,R0_rs,R0_rd,eta_i,eta_f,eta_rs,eta_rd,rp_i,rp_f,rp_rs,rp_rd,ts,force,T,runs,rho,gamma,sa,rdis,seed,R0_ramp,bb_a,bb_v,ou_d,ou_v,ou_l,ou_u
1646,./data/backup-01-11-5,data_1646,386662.26726755407,386662.26726755407,10,10,0.0,0.0,10,10,0.21052845804708234,1.0,10,10.0,0.04662443376037135,0.04662443376037135,10,10.0,0.03889596240718458,0.03889596240718458,10,10,7,none,20,1,0.0769,0.1667,0.3,100,251502,bb,1.1116324672579792,1e-05,0.01,1e-05,0,1
1647,./data/backup-01-11-5,data_1647,929960.4518787735,929960.4518787735,10,10,0.0,0.0,10,10,0.25278930561022617,1.0,10,10.0,0.05065407341602702,0.05065407341602702,10,10.0,0.2632282581879185,0.2632282581879185,10,10,7,none,20,1,0.0769,0.1667,0.3,100,981810,bb,0.8173145304634948,1e-05,0.01,1e-05,0,1
1648,./data/backup-01-11-5,data_1648,78955.58553694982,78955.58553694982,10,10,0.0,0.0,10,10,0.8394667982373616,1.0,10,10.0,0.035994902346375215,0.035994902346375215,10,10.0,0.4341122354969542,0.4341122354969542,10,10,7,none,20,1,0.0769,0.1667,0.3,100,974661,bb,1.5974782772337752,1e-05,0.01,1e-05,0,1
1649,./data/backup-01-11-5,data_1649,4634115.7770536635,4634115.7770536635,10,10,0.0,0.0,10,10,0.37188754453744655,1.0,10,10.0,0.04278635344808345,0.04278635344808345,10,10.0,0.04646157031367905,0.04646157031367905,10,10,7,none,20,1,0.0769,0.1667,0.3,100,318122,bb,3.147706053430335,1e-05,0.01,1e-05,0,1
1650,./data/backup-01-11-5,data_1650,50843.53105145333,50843.53105145333,10,10,0.0,0.0,10,10,0.5049227925728855,1.0,10,10.0,0.10192341147719322,0.10192341147719322,10,10.0,0.024720370016715284,0.024720370016715284,10,10,7,none,20,1,0.0769,0.1667,0.3,100,473734,bb,1.0009783541324389,1e-05,0.01,1e-05,0,1
1651,./data/backup-01-11-5,data_1651,4975615.995475873,4975615.995475873,10,10,0.0,0.0,10,10,0.5179712641631912,1.0,10,10.0,0.04988797018296776,0.04988797018296776,10,10.0,0.34927149127918933,0.34927149127918933,10,10,7,none,20,1,0.0769,0.1667,0.3,100,642904,bb,4.442714210452673,1e-05,0.01,1e-05,0,1
1652,./data/backup-01-11-5,data_1652,745087.2950495532,745087.2950495532,10,10,0.0,0.0,10,10,0.20309617100278887,1.0,10,10.0,0.040420790129236016,0.040420790129236016,10,10.0,0.3347025988571705,0.3347025988571705,10,10,7,none,20,1,0.0769,0.1667,0.3,100,805917,bb,0.8456501008358233,1e-05,0.01,1e-05,0,1
1653,./data/backup-01-11-5,data_1653,1409505.7759437736,1409505.7759437736,10,10,0.0,0.0,10,10,0.6868120439770058,1.0,10,10.0,0.12144445117941037,0.12144445117941037,10,10.0,0.023189252498801202,0.023189252498801202,10,10,7,none,20,1,0.0769,0.1667,0.3,100,828822,bb,0.3235347627845758,1e-05,0.01,1e-05,0,1
1654,./data/backup-01-11-5,data_1654,108052.39456035741,108052.39456035741,10,10,0.0,0.0,10,10,0.21188354665109096,1.0,10,10.0,0.6769498923617204,0.6769498923617204,10,10.0,0.1496559980779381,0.1496559980779381,10,10,7,none,20,1,0.0769,0.1667,0.3,100,396920,bb,2.255036718063171,1e-05,0.01,1e-05,0,1
1655,./data/backup-01-11-5,data_1655,654134.4026966167,654134.4026966167,10,10,0.0,0.0,10,10,0.8490916876625841,1.0,10,10.0,0.061192912648769804,0.061192912648769804,10,10.0,0.3575633806321827,0.3575633806321827,10,10,7,none,20,1,0.0769,0.1667,0.3,100,706111,bb,0.8857802194924436,1e-05,0.01,1e-05,0,1
1656,./data/backup-01-11-5,data_1656,2550645.2788462024,2550645.2788462024,10,10,0.0,0.0,10,10,0.4392923747222649,1.0,10,10.0,0.05179149920426002,0.05179149920426002,10,10.0,0.023310480119485763,0.023310480119485763,10,10,7,none,20,1,0.0769,0.1667,0.3,100,807547,bb,2.6625139535976956,1e-05,0.01,1e-05,0,1
1657,./data/backup-01-11-5,data_1657,380420.52186167927,380420.52186167927,10,10,0.0,0.0,10,10,0.5287798617718438,1.0,10,10.0,0.05165228270466561,0.05165228270466561,10,10.0,0.113619226474989,0.113619226474989,10,10,7,none,20,1,0.0769,0.1667,0.3,100,114982,bb,0.5941328753759461,1e-05,0.01,1e-05,0,1
1658,./data/backup-01-11-5,data_1658,761464.5129996085,761464.5129996085,10,10,0.0,0.0,10,10,0.19126420396220187,1.0,10,10.0,0.04500347712938592,0.04500347712938592,10,10.0,0.023403337870590516,0.023403337870590516,10,10,7,none,20,1,0.0769,0.1667,0.3,100,958957,bb,1.9972055696960487,1e-05,0.01,1e-05,0,1
